"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,4.06230825212332e-15,1628,958,150,0.156576200417537,0.0921375921375921,"GO:0030030","GO:BP","cell projection organization",20972,6219,"GO:0016043"
"query_1",TRUE,4.45218873367323e-15,1444,958,138,0.144050104384134,0.0955678670360111,"GO:0030182","GO:BP","neuron differentiation",20972,6264,"GO:0030154;GO:0048699"
"query_1",TRUE,8.01589980040918e-15,5510,958,366,0.382045929018789,0.0664246823956443,"GO:0048523","GO:BP","negative regulation of cellular process",20972,11957,"GO:0009987;GO:0048519;GO:0050794"
"query_1",TRUE,8.40727816067748e-15,1769,958,158,0.164926931106472,0.0893159977388355,"GO:0022008","GO:BP","neurogenesis",20972,6130,"GO:0007399;GO:0030154"
"query_1",TRUE,9.54162699911974e-15,1582,958,146,0.152400835073069,0.0922882427307206,"GO:0120036","GO:BP","plasma membrane bounded cell projection organization",20972,18205,"GO:0030030"
"query_1",TRUE,9.85793488368692e-15,544,958,73,0.0762004175365344,0.134191176470588,"GO:0030335","GO:BP","positive regulation of cell migration",20972,6340,"GO:0016477;GO:0030334;GO:2000147"
"query_1",TRUE,1.51528213459182e-14,920,958,101,0.105427974947808,0.109782608695652,"GO:0040007","GO:BP","growth",20972,9261,"GO:0008150"
"query_1",TRUE,2.60567843998073e-14,1523,958,141,0.147181628392484,0.09258043335522,"GO:0048699","GO:BP","generation of neurons",20972,12106,"GO:0022008"
"query_1",TRUE,3.93123539755292e-14,571,958,74,0.0772442588726514,0.129597197898424,"GO:2000147","GO:BP","positive regulation of cell motility",20972,23636,"GO:0040017;GO:0048522;GO:0048870;GO:2000145"
"query_1",TRUE,4.46654332469239e-14,1549,958,142,0.148225469728601,0.091672046481601,"GO:0045595","GO:BP","regulation of cell differentiation",20972,10677,"GO:0030154;GO:0050793;GO:0050794"
"query_1",TRUE,4.57451737082969e-14,1534,958,141,0.147181628392484,0.0919165580182529,"GO:0007010","GO:BP","cytoskeleton organization",20972,2489,"GO:0006996"
"query_1",TRUE,4.7155995567064e-14,586,958,75,0.0782881002087683,0.127986348122867,"GO:0040017","GO:BP","positive regulation of locomotion",20972,9271,"GO:0040011;GO:0040012;GO:0048518"
"query_1",TRUE,4.7155995567064e-14,1693,958,151,0.157620041753653,0.0891907855877141,"GO:0048585","GO:BP","negative regulation of response to stimulus",20972,12007,"GO:0048519;GO:0048583;GO:0050896"
"query_1",TRUE,6.16574524070627e-14,349,958,55,0.0574112734864301,0.157593123209169,"GO:0031589","GO:BP","cell-substrate adhesion",20972,6771,"GO:0007155"
"query_1",TRUE,6.1787794491311e-14,998,958,105,0.109603340292276,0.105210420841683,"GO:0000902","GO:BP","cell morphogenesis",20972,230,"GO:0009653"
"query_1",TRUE,1.16860445872177e-13,400,958,59,0.0615866388308977,0.1475,"GO:0008544","GO:BP","epidermis development",20972,3052,"GO:0009888"
"query_1",TRUE,1.3250404657929e-13,333,958,53,0.0553235908141962,0.159159159159159,"GO:0060562","GO:BP","epithelial tube morphogenesis",20972,13736,"GO:0002009;GO:0035239"
"query_1",TRUE,2.45229451604644e-13,1426,958,132,0.137787056367432,0.0925666199158485,"GO:0042981","GO:BP","regulation of apoptotic process",20972,9804,"GO:0006915;GO:0043067"
"query_1",TRUE,2.92882661698151e-13,686,958,81,0.0845511482254697,0.118075801749271,"GO:0008285","GO:BP","negative regulation of cell population proliferation",20972,3012,"GO:0008283;GO:0042127;GO:0048523"
"query_1",TRUE,3.17534951429421e-13,457,958,63,0.0657620041753653,0.137855579868709,"GO:0007015","GO:BP","actin filament organization",20972,2491,"GO:0030036;GO:0097435"
"query_1",TRUE,5.24011589272902e-13,734,958,84,0.0876826722338205,0.114441416893733,"GO:0070848","GO:BP","response to growth factor",20972,15214,"GO:0009719"
"query_1",TRUE,8.74919639799207e-13,852,958,92,0.0960334029227557,0.107981220657277,"GO:0045597","GO:BP","positive regulation of cell differentiation",20972,10679,"GO:0030154;GO:0045595;GO:0048522;GO:0051094"
"query_1",TRUE,1.08688871006779e-12,1238,958,118,0.123173277661795,0.0953150242326333,"GO:0071495","GO:BP","cellular response to endogenous stimulus",20972,15590,"GO:0009719"
"query_1",TRUE,1.3771518641841e-12,1945,958,162,0.169102296450939,0.0832904884318766,"GO:1902531","GO:BP","regulation of intracellular signal transduction",20972,20814,"GO:0009966;GO:0035556"
"query_1",TRUE,1.3771518641841e-12,233,958,42,0.0438413361169102,0.180257510729614,"GO:0007160","GO:BP","cell-matrix adhesion",20972,2590,"GO:0031589"
"query_1",TRUE,3.90904109513734e-12,706,958,80,0.0835073068893528,0.113314447592068,"GO:0071363","GO:BP","cellular response to growth factor stimulus",20972,15479,"GO:0070848;GO:0071495"
"query_1",TRUE,4.37355796294575e-12,1341,958,123,0.12839248434238,0.0917225950782998,"GO:0009968","GO:BP","negative regulation of signal transduction",20972,3645,"GO:0007165;GO:0009966;GO:0010648;GO:0023057;GO:0048585"
"query_1",TRUE,6.15767553063372e-12,331,958,50,0.0521920668058455,0.151057401812689,"GO:0072001","GO:BP","renal system development",20972,15888,"GO:0048731"
"query_1",TRUE,6.2705929867016e-12,2320,958,182,0.189979123173278,0.078448275862069,"GO:0048584","GO:BP","positive regulation of response to stimulus",20972,12006,"GO:0048518;GO:0048583;GO:0050896"
"query_1",TRUE,6.32436357076935e-12,320,958,49,0.0511482254697286,0.153125,"GO:0001822","GO:BP","kidney development",20972,466,"GO:0048513;GO:0072001"
"query_1",TRUE,6.87626659808845e-12,1000,958,100,0.104384133611691,0.1,"GO:0009887","GO:BP","animal organ morphogenesis",20972,3586,"GO:0009653;GO:0048513"
"query_1",TRUE,7.70398708768854e-12,214,958,39,0.0407098121085595,0.182242990654206,"GO:0002064","GO:BP","epithelial cell development",20972,636,"GO:0030855;GO:0048468"
"query_1",TRUE,8.65223574095606e-12,887,958,92,0.0960334029227557,0.103720405862458,"GO:0043069","GO:BP","negative regulation of programmed cell death",20972,9852,"GO:0012501;GO:0043067;GO:0048523"
